"region","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"1","Southern Italy",14.38,1.72,2.52,66.3,13.8,0.4,0.64,0.24
"2","Southern Italy",12.48,1.07,3.13,72.99,8.4,0.46,0.66,0.33
"3","Southern Italy",12.98,0.99,3.11,73.11,7.87,0.45,0.67,0.23
"4","Northern Italy",11.6,0.9,2.2,75.8,7.9,0.4,0.9,0.01
"5","Southern Italy",12.83,1.53,1.96,71.07,11.15,0.37,0.6,0.28
"6","Northern Italy",10.85,0.6,1.88,79.55,6.02,0.3,0.5,0.02
"7","Northern Italy",10.58,0.5,1.78,79.88,6.26,0.4,0.55,0.03
"8","Northern Italy",9.9,0.9,2.1,77.8,9.3,0,0,0.02
"9","Sardinia",11.31,0.87,2.08,71.7,13.08,0.28,0.57,0.02
"10","Southern Italy",12.83,1.02,2.63,74,7.63,0.54,0.65,0.28
"11","Southern Italy",13.47,1.97,2.11,67.95,13,0.32,0.59,0.34
"12","Northern Italy",10.5,0.78,1.88,79.9,6.08,0.28,0.23,0.03
"13","Northern Italy",10.3,1,2.5,77.1,9,0,0.1,0.02
"14","Southern Italy",12.49,1.33,2.05,74.17,8.27,0.33,0.72,0.33
"15","Sardinia",10.76,0.77,2.02,72.43,13.05,0.29,0.67,0.01
"16","Northern Italy",11.1,0.75,2.2,79.15,5.1,0.55,0.65,0.02
"17","Southern Italy",14.63,1.83,1.83,67.47,13.07,0.36,0.6,0.24
"18","Southern Italy",13.46,1.81,2.57,71.47,9.33,0.4,0.6,0.36
"19","Southern Italy",16.38,2.52,2.15,65.7,11.99,0.39,0.53,0.29
"20","Southern Italy",15.27,2.6,2.32,64.88,13.7,0.31,0.45,0.2
"21","Southern Italy",13.83,1.57,2.17,70.18,10.9,0.4,0.6,0.37
"22","Southern Italy",14.6,1.87,2.15,68.43,11.72,0.35,0.56,0.32
"23","Sardinia",11.32,0.8,2.01,73.98,10.95,0.27,0.67,0.02
"24","Sardinia",11.06,0.93,2.12,73.81,11.04,0.35,0.68,0.01
"25","Southern Italy",13.17,1.97,2.56,70.36,10.67,0.4,0.6,0.22
"26","Southern Italy",12.96,1.36,2.6,73.8,7.8,0.48,0.51,0.18
"27","Southern Italy",14.13,1.91,1.86,69.37,11.8,0.31,0.46,0.13
"28","Northern Italy",12,0.5,2.1,77.7,6.9,0.2,0.5,0.03
"29","Southern Italy",11.09,0.79,3.05,75.76,7.63,0.45,0.64,0.36
"30","Southern Italy",14.09,1.28,2.57,72.57,7.59,0.43,0.57,0.16
"31","Southern Italy",12.55,1.03,2.23,73.95,8.48,0.47,0.56,0.3
"32","Northern Italy",10.9,0.58,1.92,79.5,6,0.35,0.4,0.03
"33","Southern Italy",13.91,1.87,1.89,69.75,10.62,0.52,0.7,0.45
"34","Southern Italy",13.67,1.73,2.28,69.48,11.41,0.32,0.53,0.24
"35","Southern Italy",12.61,1.21,3.12,72.38,8.77,0.47,0.65,0.25
"36","Southern Italy",14.53,1.8,2.44,67.52,12.38,0.34,0.54,0.23
"37","Northern Italy",11.2,1.3,2.5,75.3,9.7,0,0,0.03
"38","Southern Italy",12.83,1.49,2.24,70.77,11.04,0.3,0.57,0.32
"39","Northern Italy",10.55,0.6,1.75,79.85,6.2,0.45,0.5,0.01
"40","Northern Italy",11.7,0.8,2.3,76.9,7.2,0.4,0.7,0.01
"41","Northern Italy",11.3,0.8,2.5,77.8,6.5,0.4,0.6,0.03
"42","Sardinia",11.05,0.88,2.1,73.53,11.42,0.28,0.72,0.01
"43","Southern Italy",13.87,1.54,2.04,69.91,10.9,0.34,0.74,0.32
"44","Southern Italy",13.51,1.59,2.96,72.29,8.1,0.36,0.6,0.22
"45","Southern Italy",9.95,0.46,2.88,78.06,6.79,0.56,0.86,0.4
"46","Sardinia",12.13,1.12,2.45,70.07,13.35,0.22,0.65,0.03
"47","Sardinia",10.61,0.86,2.2,74.21,11.02,0.29,0.79,0.03
"48","Southern Italy",12.06,2.18,2.42,71.93,10.02,0.37,0.54,0.25
"49","Southern Italy",13.36,1.55,2.12,71.03,10.86,0.33,0.55,0.2
"50","Southern Italy",12.57,0.95,2.47,74.05,8.12,0.43,0.7,0.35
"51","Northern Italy",11.8,1.3,2.2,74.5,10.1,0,0.1,0.02
"52","Sardinia",11.59,0.98,2.13,73.2,11.08,0.38,0.64,0.01
"53","Southern Italy",12.73,1.91,2.02,68.62,13.03,0.43,0.7,0.28
"54","Northern Italy",10.92,0.37,2.1,79.55,6,0.4,0.4,0.03
"55","Southern Italy",16.21,2.8,1.97,66.08,11.79,0.28,0.58,0.27
"56","Southern Italy",12.72,2.07,2.05,71.52,10.98,0.37,0.52,0.22
"57","Northern Italy",13.5,0.8,2.5,75.2,7.6,0.1,0.3,0.01
"58","Northern Italy",9.2,1.1,3.4,77.2,9.1,0,0,0.03
"59","Northern Italy",10.8,0.65,1.8,79.6,6.05,0.25,0.55,0.01
"60","Southern Italy",13.51,1.79,1.7,70.34,11.54,0.35,0.66,0.1
"61","Southern Italy",13.83,1.18,2.73,72.82,7.38,0.45,0.68,0.29
"62","Southern Italy",13.84,1.78,2.08,71.05,9.99,0.29,0.67,0.26
"63","Southern Italy",13.88,1.76,1.85,70.08,11.11,0.48,0.53,0.31
"64","Southern Italy",13.03,1.65,1.75,70.25,12.43,0.31,0.41,0.16
"65","Northern Italy",10.6,1.4,2.4,76.9,8.5,0.1,0.1,0.01
"66","Southern Italy",10.88,0.73,2.24,77.09,7.81,0.31,0.61,0.29
"67","Southern Italy",13.24,1.74,1.98,68.63,12.89,0.36,0.7,0.21
"68","Northern Italy",11.2,0.9,3,76.5,8.3,0,0.1,0.01
"69","Southern Italy",13.03,1,2.51,70.45,10.49,0.4,0.86,0.4
"70","Southern Italy",14.2,1.75,1.52,70.04,11.49,0.27,0.5,0.2
"71","Southern Italy",14.01,2.14,2.17,67.34,12.93,0.44,0.69,0.27
"72","Southern Italy",13.46,1.67,2.24,69.59,11.11,0.3,0.49,0.23
"73","Southern Italy",13.69,1.71,1.84,69.37,12.46,0.3,0.48,0.15
"74","Southern Italy",15.77,2.04,2.08,67.32,11.83,0.2,0.52,0.2
"75","Southern Italy",11.28,0.73,3.54,75.27,7.28,0.44,0.76,0.38
"76","Southern Italy",15.09,2.09,2.57,66.47,12.4,0.42,0.62,0.3
"77","Sardinia",10.75,1.03,2.07,74.13,10.96,0.32,0.68,0.02
"78","Northern Italy",10.8,1,2.6,77.1,7.5,0.2,0.7,0.02
"79","Northern Italy",10.3,1.1,2.2,77.6,9.8,0,0,0.02
"80","Northern Italy",9.6,0.9,3,78.2,8.3,0,0,0.03
"81","Southern Italy",11.88,0.85,2.73,74.45,8.14,0.44,0.73,0.42
"82","Southern Italy",12.01,1.75,2.01,71.29,11.93,0.36,0.49,0.15
"83","Sardinia",11.14,0.86,2.1,73.59,11.16,0.31,0.83,0.02
"84","Sardinia",11.03,0.96,2.1,73.8,10.85,0.32,0.94,0.03
"85","Sardinia",10.92,1.06,2.19,74.27,11.25,0.33,0.77,0.01
"86","Southern Italy",12.01,1.68,1.9,71,12.16,0.43,0.64,0.16
"87","Northern Italy",11.8,0.8,2.5,78.7,5.8,0.1,0.3,0.02
"88","Southern Italy",14.88,1.72,1.7,69.2,11.44,0.37,0.54,0.14
"89","Northern Italy",11,0.9,2.5,76.8,7.6,0.3,0.8,0.02
"90","Northern Italy",10.9,0.58,1.95,79.4,6,0.35,0.42,0.02
"91","Southern Italy",13.69,1.04,2.37,73.75,7.75,0.39,0.7,0.15
"92","Sardinia",10.65,0.98,2.3,73.45,11.63,0.24,0.74,0.01
"93","Southern Italy",14.82,1.78,1.97,68.14,12.01,0.4,0.64,0.24
"94","Southern Italy",12.75,1.21,2.15,72.85,8.92,0.4,0.68,0.41
"95","Northern Italy",10.6,0.9,3.1,78.5,6.9,0,0,0.02
"96","Southern Italy",14.37,2.22,1.84,68.03,12.4,0.43,0.56,0.16
"97","Southern Italy",11.36,0.72,3.41,76.16,6.61,0.49,0.65,0.32
"98","Southern Italy",13.93,1.28,2.11,71.89,8.7,0.38,0.93,0.4
"99","Southern Italy",10.36,0.59,2.35,78.68,6.61,0.3,0.62,0.44
"100","Southern Italy",12.72,1.16,2.79,72.58,8.72,0.43,0.72,0.27
"101","Northern Italy",10.65,0.65,1.78,79.65,6.05,0.22,0.65,0.02
"102","Southern Italy",9.61,0.7,1.95,79.58,7.42,0.46,0.75,0.3
"103","Sardinia",10.98,1.03,2.67,71.35,13.01,0.24,0.76,0.02
"104","Southern Italy",12.14,1.37,2.32,72.69,10.05,0.32,0.55,0.23
"105","Southern Italy",9.52,0.49,2.54,77.95,7.8,0.5,0.75,0.41
"106","Southern Italy",13.39,1.66,2.08,71.9,9.23,0.4,0.69,0.25
"107","Southern Italy",11.2,0.69,2.77,74.16,9.46,0.42,0.59,0.36
"108","Northern Italy",11.2,0.7,2.4,77.2,7.3,0.4,0.8,0.02
"109","Northern Italy",10.2,0.9,2.6,76.2,10.1,0,0,0.03
"110","Southern Italy",13.27,1.4,1.93,73.28,8.23,0.36,0.87,0.35
"111","Southern Italy",13.69,1.56,2.41,68.9,12.09,0.42,0.63,0.3
"112","Northern Italy",11.1,0.9,2.3,78.1,7.5,0,0.1,0.02
"113","Southern Italy",13.11,1.66,2.22,70.06,11.47,0.41,0.8,0.27
"114","Northern Italy",14,0.9,2.7,74.2,8,0,0.2,0.02
"115","Southern Italy",10.56,0.53,2.47,77.03,7,0.54,0.89,0.51
"116","Southern Italy",15.08,2.08,2.49,66.41,13.11,0.25,0.43,0.2
"117","Southern Italy",11.32,1.57,2.4,76.41,6.38,0.45,0.6,0.31
"118","Southern Italy",12.95,1.09,2.45,72.53,9.03,0.43,0.62,0.38
"119","Southern Italy",13.15,1.39,2.3,72.99,8.32,0.42,0.6,0.32
"120","Southern Italy",10.74,0.7,2.14,77.28,7.47,0.5,0.79,0.33
"121","Sardinia",11.41,0.95,2.5,70.35,13.88,0.22,0.68,0.02
"122","Southern Italy",13.6,1.67,2.25,68.83,12.2,0.31,0.55,0.27
"123","Southern Italy",13.45,1.33,2.72,68.01,11.94,0.48,0.83,0.37
"124","Southern Italy",15.14,1.62,2.98,67.25,11.19,0.45,0.93,0.3
"125","Southern Italy",13.98,1.49,2.04,71.82,9.07,0.29,0.76,0.3
"126","Sardinia",11.78,0.92,2.41,70.06,13.76,0.22,0.84,0.01
"127","Southern Italy",14.25,1.98,1.93,70.32,10.41,0.31,0.52,0.17
"128","Southern Italy",13.39,1.7,2.75,68.38,10.6,0.46,0.88,0.43
"129","Southern Italy",13.21,2.09,2.17,69.48,11.78,0.42,0.62,0.23
"130","Northern Italy",10.72,0.49,1.78,79.8,6.15,0.48,0.48,0.02
"131","Southern Italy",13.68,1.74,2.05,70.42,10.66,0.31,0.57,0.26
"132","Sardinia",11.4,0.95,2.58,70.85,13.47,0.23,0.71,0.03
"133","Southern Italy",15.15,2.26,2.57,65.95,12.87,0.41,0.63,0.16
"134","Southern Italy",13.36,1.13,2.42,72.93,8.55,0.38,0.6,0.18
"135","Northern Italy",10.9,0.9,2.7,77.8,6.9,0.3,0.5,0.03
"136","Southern Italy",12.21,1.07,2.21,74.41,7.98,0.54,0.7,0.28
"137","Southern Italy",14.1,2.32,2.8,67.15,12.33,0.32,0.6,0.24
"138","Northern Italy",11.1,0.8,2.15,79.1,5.25,0.5,0.6,0.01
"139","Northern Italy",10.9,0.6,1.95,79.55,6,0.28,0.42,0.02
"140","Southern Italy",13.59,0.98,3.51,72.62,7.8,0.41,0.56,0.16
"141","Northern Italy",11,0.55,1.98,79.05,6,0.35,0.5,0.03
"142","Northern Italy",10.9,0.58,1.95,79.5,6,0.3,0.42,0.02
"143","Sardinia",10.86,1.27,2.52,71.59,12.85,0.28,0.62,0.02
"144","Southern Italy",10.74,0.67,2.36,76.92,7.16,0.56,0.83,0.45
"145","Southern Italy",12.83,1.51,1.82,70,12.71,0.4,0.52,0.21
"146","Southern Italy",11.05,0.69,3.73,77.14,5.32,0.51,0.68,0.37
"147","Southern Italy",10.51,0.67,2.59,77.71,6.72,0.5,0.8,0.46
"148","Sardinia",10.6,1.11,2.31,73.63,11.49,0.2,0.65,0.01
"149","Southern Italy",17.32,2.31,1.56,64.37,13.13,0.45,0.62,0.23
"150","Northern Italy",11.9,0.8,2.7,76.9,7.2,0.1,0.4,0.02
"151","Northern Italy",10.1,1.1,2.1,77.2,9.5,0,0,0.01
"152","Southern Italy",13.88,1.83,2.16,68.67,12.08,0.28,0.61,0.21
"153","Southern Italy",12.66,0.97,2.63,74.35,7.43,0.45,0.69,0.29
"154","Southern Italy",12.98,1.66,2.24,69.86,11.62,0.34,0.65,0.31
"155","Southern Italy",9.11,0.49,2.68,79.24,6.78,0.51,0.7,0.44
"156","Northern Italy",10.1,0.9,3.5,76.1,9.3,0.1,0,0.03
"157","Southern Italy",13.46,1.6,1.69,70.72,11.51,0.39,0.48,0.15
"158","Southern Italy",13.4,1.14,1.89,73.37,8.2,0.48,0.72,0.21
"159","Southern Italy",13.48,1.54,1.83,69.17,12.77,0.48,0.56,0.16
"160","Southern Italy",10.65,0.39,2.34,78.76,7.03,0.42,0.74,0.26
"161","Southern Italy",14.54,2,1.99,69.1,10.9,0.3,0.62,0.25
"162","Southern Italy",13.47,1.94,1.97,72.77,8.95,0.25,0.46,0.15
"163","Southern Italy",12.22,0.7,3.29,76.05,5.66,0.48,0.67,0.43
"164","Southern Italy",14.22,1.81,2.18,68.13,12.3,0.3,0.59,0.21
"165","Southern Italy",9.52,0.77,2.58,78.2,7.36,0.43,0.78,0.33
"166","Southern Italy",13.49,1.52,2.36,71.45,9.49,0.35,0.75,0.29
"167","Southern Italy",9.43,0.94,1.83,78.4,7.88,0.42,0.75,0.31
"168","Southern Italy",15.43,1.72,1.93,67.4,11.57,0.52,0.87,0.34
"169","Northern Italy",11.9,0.9,2.3,76.7,7.1,0.3,0.8,0.02
"170","Northern Italy",10.95,0.58,1.98,79.45,6,0.35,0.34,0.01
"171","Northern Italy",11.8,0.8,2.4,77.6,6.7,0.2,0.5,0.02
"172","Sardinia",10.4,1.03,2.28,73.64,11.73,0.25,0.66,0.02
"173","Southern Italy",14.12,1.24,2.98,71.82,7.9,0.45,0.68,0.28
"174","Southern Italy",14.26,1.69,1.92,70.25,10.43,0.31,0.64,0.27
"175","Southern Italy",13.69,1.58,2.15,71.6,9.58,0.38,0.69,0.32
"176","Southern Italy",13.28,1.71,2.53,69.87,10.3,0.38,0.83,0.39
"177","Southern Italy",14.12,1.85,2.17,68.42,12.03,0.34,0.72,0.32
"178","Sardinia",10.52,0.95,2.15,73.88,11.26,0.31,0.92,0.01
"179","Northern Italy",11.4,0.5,2,79.9,5.8,0.1,0.2,0.01
"180","Southern Italy",10.37,0.55,2.13,79.44,6.33,0.26,0.52,0.3
"181","Southern Italy",15.21,1.9,2.38,69.56,9.86,0.36,0.5,0.23
"182","Sardinia",11.77,1.11,2.41,68.82,14.7,0.22,0.95,0.02
"183","Sardinia",10.42,1.35,2.1,73.76,11.16,0.35,0.9,0.03
"184","Southern Italy",16.39,1.72,3.31,65.1,11.24,0.46,0.91,0.32
"185","Southern Italy",14.87,2.46,2.51,65.04,13.9,0.29,0.53,0.19
"186","Southern Italy",11.68,1.44,2.2,72.3,11.09,0.31,0.52,0.28
"187","Northern Italy",11.6,0.7,2.5,76.5,7.5,0.3,0.9,0.01
"188","Southern Italy",15.39,1.94,2.13,67.64,11.78,0.38,0.58,0.16
"189","Southern Italy",12.01,1.38,2.07,70.11,12.69,0.37,0.64,0.35
"190","Southern Italy",13.59,1.8,2.07,68.95,12.03,0.33,0.61,0.3
"191","Southern Italy",12.86,1.63,1.83,70.4,12.3,0.29,0.57,0.12
"192","Northern Italy",10.75,0.68,1.95,79.6,6.02,0.2,0.4,0.03
"193","Southern Italy",14.49,1.75,1.98,68.83,11.62,0.4,0.7,0.22
"194","Southern Italy",15.18,1.98,2.25,66.81,12.43,0.29,0.57,0.24
"195","Southern Italy",13.44,1.17,2.87,71.29,8.97,0.51,0.65,0.41
"196","Southern Italy",12.78,0.87,3.32,73.79,7.71,0.44,0.53,0.24
"197","Southern Italy",9.05,0.49,2.88,77.47,8.12,0.49,0.71,0.56
"198","Southern Italy",13.56,1.06,2.36,72.09,8.66,0.48,0.75,0.36
"199","Southern Italy",13.55,1.44,2.14,69.72,11.98,0.33,0.6,0.24
"200","Northern Italy",11.6,0.7,2.3,78.6,6.4,0.1,0.2,0.01
"201","Sardinia",11.54,1.19,2.57,71.3,12.53,0.22,0.61,0.01
"202","Southern Italy",10.82,0.6,2.39,77.45,7.09,0.46,0.83,0.33
"203","Sardinia",11.26,1,2.36,70.62,13.8,0.26,0.69,0.01
"204","Sardinia",11.35,0.98,2.51,71.2,13.14,0.2,0.61,0.02
"205","Sardinia",11.05,1.2,2.18,73.02,11.58,0.23,0.45,0.03
"206","Northern Italy",12.9,0.6,2.6,75.5,6.7,0.7,1,0.02
"207","Northern Italy",11.05,0.3,1.98,79.95,5.7,0.52,0.2,0.03
"208","Southern Italy",15.17,2.06,2.49,66.8,12.05,0.33,0.8,0.27
"209","Northern Italy",11.1,0.5,2.05,79,5.95,0.4,0.52,0.01
"210","Southern Italy",13.72,1.2,2.5,73.55,7.02,0.44,0.68,0.28
"211","Sardinia",11.42,0.97,2.25,73.41,11.01,0.28,0.65,0.01
"212","Northern Italy",11.05,0.55,2.05,79.65,6,0.25,0.2,0.02
"213","Southern Italy",14.82,2.46,2.38,64.44,14.62,0.27,0.5,0.2
"214","Sardinia",11.32,0.99,2.57,70.65,13.62,0.24,0.9,0.03
"215","Southern Italy",12.73,1.82,2.09,69.65,11.91,0.43,0.74,0.23
"216","Southern Italy",13.67,1.72,2.35,70.66,10.54,0.35,0.45,0.26
"217","Southern Italy",14.17,1.69,2.07,68.75,11.84,0.34,0.57,0.27
"218","Southern Italy",13.97,1.72,1.91,71.07,10.18,0.36,0.5,0.29
"219","Northern Italy",11.05,0.15,1.98,80.05,5.75,0.52,0.2,0.02
"220","Northern Italy",11.7,1.1,2.5,76.2,7.4,0.2,0.9,0.01
"221","Southern Italy",13.66,1.47,2.91,71.97,7.83,0.51,0.7,0.34
"222","Southern Italy",14.29,1.62,2.23,69.17,10.41,0.37,0.77,0.4
"223","Southern Italy",14.13,2.02,2.05,69.2,11.65,0.36,0.46,0.13
"224","Southern Italy",13.4,1.58,2.33,68.48,12.72,0.32,0.63,0.25
"225","Northern Italy",12.8,1.1,2.9,74.9,7.9,0.1,0.1,0.02
"226","Sardinia",10.47,1.01,2.38,73.85,11.2,0.28,0.89,0.01
"227","Southern Italy",12.52,1.8,1.81,70.55,12.14,0.31,0.59,0.38
"228","Southern Italy",12.6,1.02,2.28,73.54,8.7,0.49,0.64,0.28
"229","Northern Italy",10.7,1,2.2,77.3,8.7,0.1,0.1,0.02
"230","Southern Italy",14.54,1.83,1.96,70.57,10.14,0.27,0.46,0.19
"231","Northern Italy",12.1,0.7,2.5,75.6,7.8,0.4,0.9,0.02
"232","Southern Italy",13.39,1.66,2.26,69.28,11.98,0.3,0.6,0.23
"233","Southern Italy",12.92,1.17,2.15,73.51,8.39,0.48,0.61,0.32
"234","Northern Italy",10.75,0.65,1.85,79.8,6.08,0.35,0.42,0.03
"235","Southern Italy",13.68,1.71,2.18,70.1,10.57,0.41,0.54,0.26
"236","Sardinia",10.48,0.79,2.13,74.39,11.3,0.28,0.61,0.02
"237","Northern Italy",11.05,0.55,2,79,5.95,0.39,0.56,0.01
"238","Southern Italy",13.39,1.7,2.53,69.89,11.1,0.29,0.63,0.23
"239","Sardinia",11.12,0.92,2.09,73.56,11.25,0.32,0.73,0.02
"240","Northern Italy",9.6,0.8,2.4,79.5,7.4,0.1,0.2,0.02
"241","Northern Italy",10.9,0.6,1.95,79.5,6,0.32,0.38,0.02
"242","Southern Italy",13.09,1.22,2.41,72.57,8.7,0.46,0.72,0.35
"243","Northern Italy",10.95,0.5,2.1,79.48,6,0.25,0.35,0.02
"244","Sardinia",11.08,1.32,2.31,73.19,11.01,0.2,0.66,0.02
"245","Northern Italy",11.2,1,2.3,77.2,7.3,0.2,0.7,0.01
"246","Sardinia",10.75,0.86,2.31,74.03,11.09,0.22,0.73,0.03
"247","Southern Italy",14.38,2.04,1.89,71.07,9.1,0.33,0.63,0.27
"248","Northern Italy",10.1,1,2.4,77.1,9.1,0.1,0.2,0.02
"249","Northern Italy",10.9,0.6,1.98,79.45,6,0.32,0.35,0.02
"250","Southern Italy",11,0.61,2.35,77.28,7.34,0.39,0.64,0.35
"251","Southern Italy",12.22,1.3,2.14,73.74,8.56,0.38,0.89,0.45
"252","Southern Italy",14.09,2,2.07,68.42,12.24,0.31,0.6,0.27
"253","Northern Italy",10.1,0.9,3.5,76.3,9.4,0.1,0,0.03
"254","Southern Italy",15.29,2.15,2.03,66.02,13.1,0.45,0.69,0.27
"255","Southern Italy",13.48,1.59,2.38,70.17,10.81,0.31,0.67,0.25
"256","Southern Italy",14.1,1.99,2.16,71.3,9.55,0.21,0.48,0.19
"257","Sardinia",11.62,1.06,2.42,70.25,13.68,0.25,0.71,0.02
"258","Southern Italy",13.04,1.24,2.79,71.6,9.28,0.48,0.61,0.37
"259","Northern Italy",10.2,0.8,2.5,79.2,6.8,0.1,0.3,0.03
"260","Southern Italy",9.67,0.55,2.73,76.92,8.33,0.45,0.63,0.47
"261","Northern Italy",11.1,0.5,2.2,79.5,6,0.52,0.1,0.02
"262","Southern Italy",15.1,1.89,2.45,67.52,11.88,0.36,0.52,0.28
"263","Sardinia",11.16,1.02,2.31,72.9,11.68,0.26,0.66,0.01
"264","Southern Italy",14.99,2.01,1.82,68.03,12.04,0.3,0.56,0.24
"265","Southern Italy",11.12,0.68,3.75,77.7,4.48,0.52,0.69,0.45
"266","Sardinia",10.91,0.93,2.22,73.77,11.13,0.2,0.53,0.02
"267","Southern Italy",17.53,2.75,2.36,63.67,12.14,0.23,0.61,0.27
"268","Sardinia",10.96,0.84,2.11,74.15,10.91,0.3,0.71,0.02
"269","Southern Italy",12.99,1.16,2.53,73.09,8.23,0.4,0.69,0.27
"270","Southern Italy",16.8,2.7,1.7,64.4,13.1,0.31,0.62,0.28
"271","Sardinia",11.58,0.84,2.01,73.27,11.23,0.29,0.77,0.02
"272","Southern Italy",13.14,1.71,2.29,69.23,11.98,0.47,0.76,0.42
"273","Southern Italy",12.22,1.33,2.27,74.25,8.24,0.36,0.69,0.35
"274","Northern Italy",10.9,0.9,2.8,77.3,7.2,0.5,1,0.01
"275","Southern Italy",14.79,2.18,2.07,70.39,8.87,0.36,0.65,0.36
"276","Southern Italy",14.62,2.04,2.37,66.44,13.09,0.42,0.54,0.28
"277","Northern Italy",10.95,0.6,1.98,79.45,6,0.38,0.34,0.02
"278","Northern Italy",12.4,0.9,2.2,78.2,5.9,0.1,0.3,0.01
"279","Southern Italy",13.58,2.04,2.27,69.62,11.09,0.41,0.65,0.34
"280","Southern Italy",12.61,1.53,2.19,73.55,8.18,0.52,0.7,0.26
"281","Northern Italy",10.3,1.1,2.1,78.1,8.4,0,0,0.01
"282","Northern Italy",10.2,1,2.9,76.2,9.6,0,0.1,0.02
"283","Southern Italy",12.48,1.63,1.58,71.03,12.22,0.31,0.6,0.14
"284","Northern Italy",10.8,0.8,2.4,78.3,6.7,0.3,0.7,0.02
